num_heads	ff_dim	num_transformer_blocks	dropout_rate	learning_rate	batch_size	AUC	Accuracy
2	256	3	0.2	0.0005	128	0.992538571357727	0.9770334959030151
2	256	2	0.1	0.0005	128	0.985159695148468	0.9712918400764465
8	256	4	0.3	0.0005	32	0.9926980137825012	0.982775092124939
8	128	3	0.2	0.001	128	0.989881157875061	0.9712918400764465
8	128	3	0.3	0.0005	64	0.989881157875061	0.980861246585846
4	64	2	0.2	0.0001	32	0.9849197268486023	0.9703349471092224
8	256	2	0.2	0.001	128	0.989937961101532	0.9712918400764465
8	128	2	0.3	0.0005	128	0.9846946001052856	0.9712918400764465
8	256	4	0.1	0.0005	64	0.9908536672592163	0.9818181991577148
4	64	3	0.1	0.0001	128	0.9875386953353882	0.9598085880279541
8	256	3	0.3	0.0005	32	0.9898812770843506	0.9712918400764465
8	128	2	0.2	0.0001	32	0.9899013042449951	0.9770334959030151
4	64	4	0.2	0.001	32	0.9897200465202332	0.9789473414421082
4	256	4	0.2	0.001	128	0.9908537864685059	0.9818181991577148
4	256	2	0.1	0.0001	128	0.9696874022483826	0.9550239443778992
4	256	4	0.2	0.0001	32	0.966130793094635	0.9712918400764465
2	256	3	0.1	0.0001	32	0.9828960299491882	0.9712918400764465
8	64	4	0.3	0.0001	64	0.9918646216392517	0.9703349471092224
4	256	2	0.3	0.0005	64	0.9834802746772766	0.9712918400764465
4	128	2	0.1	0.001	32	0.99286288022995	0.9885167479515076
4	256	3	0.2	0.0001	64	0.9827421307563782	0.8440191149711609
2	256	3	0.2	0.0005	64	0.9917749762535095	0.982775092124939
2	128	4	0.1	0.0005	32	0.9929141402244568	0.9904305934906006
4	128	4	0.1	0.001	64	0.9915771484375	0.982775092124939
8	256	2	0.1	0.0001	32	0.9853025078773499	0.8660287261009216
