num_heads	ff_dim	num_transformer_blocks	dropout_rate	learning_rate	batch_size	AUC	Accuracy
2	64	3	0.1	0.001	32	0.9998362064361572	0.9991506338119507
8	256	2	0.1	0.001	64	0.9998347759246826	0.9988852143287659
8	256	2	0.1	0.0005	32	0.9998185634613037	0.9993098974227905
2	256	3	0.2	0.0005	64	0.999772310256958	0.9988852143287659
2	256	3	0.1	0.001	32	0.999763548374176	0.9989383220672607
8	128	2	0.2	0.0005	32	0.9997585415840149	0.9986729025840759
4	128	2	0.2	0.001	32	0.9997267723083496	0.9989914298057556
4	128	3	0.1	0.0005	32	0.9997191429138184	0.998725950717926
4	128	4	0.2	0.001	32	0.9997171759605408	0.998619794845581
4	64	3	0.1	0.0005	128	0.9997048377990723	0.998725950717926
8	256	3	0.1	0.001	64	0.9996395707130432	0.9984074831008911
4	64	2	0.3	0.0005	64	0.9996281266212463	0.9985136389732361
2	256	3	0.2	0.0001	32	0.9995836615562439	0.9977704882621765
8	64	4	0.2	0.0005	32	0.9995776414871216	0.998566746711731
8	256	2	0.3	0.001	128	0.9994837641716003	0.9979828000068665
8	64	2	0.2	0.001	128	0.9994400143623352	0.9987790584564209
8	128	3	0.1	0.0001	64	0.9994363784790039	0.9979296922683716
8	128	4	0.3	0.0005	128	0.9994362592697144	0.9981420636177063
4	128	2	0.3	0.0005	128	0.9993570446968079	0.9983543753623962
2	128	3	0.2	0.0001	32	0.999304473400116	0.9981420636177063
8	128	2	0.1	0.0001	64	0.9992606043815613	0.9962841272354126
2	64	2	0.2	0.0001	64	0.9992406368255615	0.9978766441345215
8	128	4	0.3	0.0001	128	0.998949408531189	0.9963902831077576
8	256	4	0.2	0.0001	128	0.9988317489624023	0.9971334338188171
2	64	4	0.1	0.0001	64	0.9987679719924927	0.9976112246513367
