num_heads	ff_dim	num_transformer_blocks	dropout_rate	learning_rate	batch_size	AUC	Accuracy
2	256	3	0.2	0.0005	128	0.9559904336929321	0.9096992015838623
2	256	2	0.1	0.0005	128	0.9311501383781433	0.876456081867218
8	256	4	0.3	0.0005	32	0.9581745862960815	0.898476243019104
8	128	3	0.2	0.001	128	0.9711848497390747	0.9015784859657288
8	128	3	0.3	0.0005	64	0.9635723829269409	0.9160862565040588
4	64	2	0.2	0.0001	32	0.9537877440452576	0.8822956681251526
8	256	2	0.2	0.001	128	0.9650354385375977	0.9008789658546448
8	128	2	0.3	0.0005	128	0.9613324999809265	0.9005444049835205
8	256	4	0.1	0.0005	64	0.9645074605941772	0.9176982045173645
4	64	3	0.1	0.0001	128	0.9630861878395081	0.8960126638412476
8	256	3	0.3	0.0005	32	0.9562727808952332	0.9121323823928833
8	128	2	0.2	0.0001	32	0.9608172178268433	0.899175763130188
4	64	4	0.2	0.001	32	0.9571323990821838	0.9076005816459656
4	256	4	0.2	0.001	128	0.956750214099884	0.8987804055213928
4	256	2	0.1	0.0001	128	0.9562883973121643	0.9028863310813904
4	256	4	0.2	0.0001	32	0.9700961112976074	0.9264880418777466
2	256	3	0.1	0.0001	32	0.9605750441551208	0.8986586928367615
8	64	4	0.3	0.0001	64	0.9465963244438171	0.8894127011299133
4	256	2	0.3	0.0005	64	0.9539569020271301	0.9056236743927002
4	128	2	0.1	0.001	32	0.9543598890304565	0.9115240573883057
4	256	3	0.2	0.0001	64	0.9551453590393066	0.9017913937568665
2	256	3	0.2	0.0005	64	0.9686503410339355	0.9024301171302795
2	128	4	0.1	0.0005	32	0.9570288062095642	0.9096688032150269
4	128	4	0.1	0.001	64	0.9635614156723022	0.9194926619529724
8	256	2	0.1	0.0001	32	0.9570878148078918	0.8985674977302551
